Player,Team,Pos,L3,L5,L10,All,1,2,3,4,5
Shai Gilgeous-Alexander,OKC,G,41,36.3,34.9,35.5,,,41,29,39
Jaylen Brown,BOS,F,40,40,33.8,35.8,37,43,,,
Kawhi Leonard,LAC,F,40,38.5,37.9,32.9,39,46,35,34,
LaMelo Ball,CHA,G,39.7,39,38.3,35.7,40,40,39,41,35
James Harden,PHI,G,39.7,37.6,36.3,36.6,41,40,38,32,37
Joel Embiid,PHI,C,39.3,37.2,36.2,35.1,40,39,39,31,37
Damian Lillard,POR,G,39,37,37.9,36.4,39,,39,34,36
Anthony Edwards,MIN,G,38.7,38.2,35.3,36.4,39,40,37,36,39
Kyle Kuzma,WAS,F,38,37.5,33,35.1,38,41,35,36,
Paul George,LAC,G,37.7,35.4,36.3,34.5,36,41,36,32,32
Jayson Tatum,BOS,F,37.3,37.5,36.7,37.4,36,42,34,,38
Jalen Brunson,NYK,G,36.3,36.8,37.7,35,32,39,38,36,39
Scottie Barnes,TOR,F,36.3,36.4,37.3,35.3,31,37,41,36,37
Devin Booker,PHX,G,36.3,32.8,31.7,34,38,36,35,29,26
De'Aaron Fox,SAC,G,36,37.4,36.6,34.1,37,45,26,38,41
Lauri Markkanen,UTA,F,36,36,34.9,34.3,32,40,,37,35
Tyrese Haliburton,IND,G,35.7,35.4,34,33.5,33,39,35,35,35
Bradley Beal,WAS,G,35.7,35,33.9,33.1,37,35,35,33,35
Tobias Harris,PHI,F,35.7,32.6,33.1,33.6,38,34,35,27,29
Pascal Siakam,TOR,F,35.3,37,36.7,37.5,33,35,38,41,38
Josh Okogie,PHX,F,35.3,36,32.4,15.6,33,32,41,39,35
Brandon Ingram,NOP,F,35.3,34.2,34.2,32.5,36,36,34,32,33
OG Anunoby,TOR,F,35,35,35,35.8,34,39,32,,
Nikola Jokic,DEN,C,35,34.6,34.1,33.6,42,27,36,34,34
Chris Paul,PHX,G,35,34.4,33.4,32.2,40,32,33,37,30
Jordan Clarkson,UTA,G,34.7,35.6,33,32.5,33,36,35,34,40
Julius Randle,NYK,F,34.7,35,35.5,35.8,33,36,35,32,39
CJ McCollum,NOP,G,34.7,34.3,34.4,35,34,36,34,,33
Tyler Herro,MIA,G,34.5,38.7,38.6,35.4,41,28,,,47
Keldon Johnson,SAS,F,34.3,33.4,33.3,32.7,37,31,35,35,29
Luguentz Dort,OKC,F,34.3,30.2,28.5,30.1,31,36,36,24,24
Kyrie Irving,DAL,G,34,37.5,37,37,38,30,,40,42
Dejounte Murray,ATL,G,34,35,35.5,36.4,33,35,34,40,33
Darius Garland,CLE,G,34,35,33.2,35.2,34,31,37,43,30
Terry Rozier,CHA,G,34,33,34.8,35.6,35,33,,33,31
Luka Doncic,DAL,G,33.7,35.6,33.5,36.3,36,30,35,36,41
Evan Mobley,CLE,F,33.7,34.8,33.8,34.1,33,30,38,35,38
Jabari Smith,HOU,F,33.7,34.2,32.9,30.1,38,34,29,36,34
Spencer Dinwiddie,BKN,G,33.7,33,34,34,41,24,36,33,31
Mikal Bridges,BKN,F,33.7,32.8,32.8,32.8,38,27,36,29,34
Myles Turner,IND,C,33.7,31.8,29.6,29.8,28,37,36,,26
P.J. Washington,CHA,F,33.5,34,35.1,32.9,,35,32,36,33
Kristaps Porzingis,WAS,F,33.5,33.3,32.7,32.6,,35,32,30,36
Gary Trent,TOR,G,33.3,33.3,35.6,33.5,27,36,37,,
Keegan Murray,SAC,F,33.3,29.6,29.9,29.7,32,43,25,20,28
Domantas Sabonis,SAC,C,33,35.6,34.4,34.5,36,31,32,38,41
Kentavious Caldwell-Pope,DEN,G,33,33.4,30.4,31.5,38,27,34,32,36
Jamal Murray,DEN,G,33,33,33.8,32.6,41,25,33,,
Malaki Branham,SAS,G,33,31.2,32.7,22.6,31,35,33,29,28
Cam Reddish,POR,F,33,27,27,27,31,35,33,19,17
Donovan Mitchell,CLE,G,32.7,35.4,34.7,35.4,31,32,35,42,37
Harrison Barnes,SAC,F,32.7,34.2,31.9,32.6,33,41,24,36,37
Deandre Ayton,PHX,C,32.7,33,32.3,30.3,35,31,32,37,30
Mike Conley,MIN,G,32.7,31.2,31.2,31.2,34,31,33,32,26
Rudy Gobert,MIN,C,32.5,31,26.7,30.4,,30,35,30,29
Franz Wagner,ORL,F,32.3,33.2,33.3,33.2,34,31,32,33,36
Kenyon Martin,HOU,F,32.3,33.2,33.1,26.7,33,36,28,31,38
Paolo Banchero,ORL,F,32.3,33.2,33.7,33.7,33,32,32,35,34
Trae Young,ATL,G,32.3,33,33.3,35.3,34,32,31,35,33
Markelle Fultz,ORL,G,32.3,33,32.8,29.2,31,30,36,35,33
Jalen Williams,OKC,F,32.3,31.6,31.5,29.3,31,28,38,22,39
Walker Kessler,UTA,C,32.3,30.2,28.8,21.6,27,37,33,19,35
Donte DiVincenzo,GSW,G,32.3,30.2,28.1,25.6,38,35,24,29,25
Jerami Grant,POR,F,32,34.5,34.4,35.6,32,,,,37
Russell Westbrook,LAC,G,32,32,32,32,25,39,,,
Klay Thompson,GSW,G,32,32,33.1,32.8,33,36,27,28,36
Buddy Hield,IND,G,32,31,32.3,32.2,31,37,28,29,30
Brook Lopez,MIL,C,32,30.6,30.1,30.3,36,27,33,25,32
Jaden McDaniels,MIN,F,32,30,28.8,30.6,33,30,33,31,23
Jeremy Sochan,SAS,F,32,28,23.8,25.9,32,,32,27,21
Jordan Poole,GSW,G,31.7,31.6,31.2,30.7,35,31,29,33,30
DeMar DeRozan,CHI,F,31.5,33,35.6,36.2,35,28,,,36
Bam Adebayo,MIA,C,31.3,34.2,35.3,35.1,31,25,38,34,43
Al Horford,BOS,C,31.3,31,30.4,30.7,32,34,28,,30
Killian Hayes,DET,G,31.3,30.8,28.6,27,32,32,30,21,39
Josh Giddey,OKC,G,31.3,30.2,30.9,30.9,32,24,38,24,33
Zach LaVine,CHI,G,31,35.2,36,35.8,33,28,32,43,40
Anthony Davis,LAL,C,31,32,33.6,33.3,37,26,30,31,36
Matisse Thybulle,POR,F,31,29.8,29.8,29.8,36,27,30,26,
Jarrett Allen,CLE,C,30.7,33.8,33,33.2,33,29,30,38,39
Jrue Holiday,MIL,G,30.7,33.6,34,33,35,29,28,43,33
Gordon Hayward,CHA,F,30.7,32.4,30.9,31.1,30,32,30,34,36
LeBron James,LAL,F,30.7,30.7,34.6,36.1,37,26,29,,
Kelly Olynyk,UTA,C,30.7,29.8,28.1,28.1,23,32,37,31,26
Jonas Valanciunas,NOP,C,30.7,28.2,25.8,24.9,32,29,31,25,24
Ochai Agbaji,UTA,G,30.7,28,23.7,15.6,31,22,39,29,19
Bojan Bogdanovic,DET,F,30.3,34.2,34.2,31.9,29,29,33,38,42
Nikola Vucevic,CHI,C,30.3,32.4,33.1,33.8,32,28,31,37,34
Talen Horton-Tucker,UTA,F,30.3,27.4,26.9,17.1,24,35,32,19,27
P.J. Tucker,PHI,F,30.3,25,24.3,26,38,32,21,7,27
Tyrese Maxey,PHI,G,30,31.8,29.6,32.7,25,37,28,35,34
Ja Morant,MEM,G,30,31.4,33.1,32.6,24,32,34,34,33
Marcus Smart,BOS,G,30,30,30,32.4,26,35,29,,
Cameron Johnson,BKN,F,30,29,29,29,36,20,34,27,28
Jaden Ivey,DET,G,29.7,32,29.6,30.1,32,31,26,27,44
Desmond Bane,MEM,G,29.7,31,31.2,31,25,32,32,34,32
RJ Barrett,NYK,F,29.7,29.4,33,34.3,29,28,32,24,34
Keita Bates-Diop,SAS,F,29.7,28.4,29.1,20.6,32,29,28,33,20
Kyle Anderson,MIN,F,29.7,26,23.4,26.2,30,28,31,24,17
Jevon Carter,MIL,G,29.7,24,20.3,22.7,24,33,32,14,17
Coby White,CHI,G,29.3,28.8,26.9,22.4,26,25,37,33,23
Aaron Nesmith,IND,F,29.3,28.8,29.4,24.7,20,34,34,30,26
Dillon Brooks,MEM,F,29.3,27.6,29.3,30.4,24,32,32,36,14
Malcolm Brogdon,BOS,G,29,31.5,27.6,25.4,21,37,29,39,
Michael Porter,DEN,F,29,30.6,30.9,29.3,39,19,29,33,33
Ivica Zubac,LAC,C,29,30.3,30.9,29.4,,,29,28,34
Aaron Gordon,DEN,F,29,29,30.8,30.2,29,,,,
Blake Griffin,BOS,C,29,26.5,17.8,14.5,,,29,24,
Reggie Bullock,DAL,F,28.7,32.8,34.5,30.4,30,26,30,38,40
Jimmy Butler,MIA,F,28.7,30.4,31.6,33.4,33,21,32,32,34
Robert Williams,BOS,C,28.5,25.5,25.9,24,31,26,,13,32
Max Strus,MIA,F,28.3,33.2,28.4,29.9,19,27,39,42,39
Gabe Vincent,MIA,G,28.3,32,31.2,26.2,27,23,35,34,41
Zach Collins,SAS,C,28.3,28,24.4,21.4,26,27,32,32,23
Dennis Smith,CHA,G,28.3,27.2,24.6,25.1,28,26,31,24,27
Jaren Jackson,MEM,F,28.3,26.6,29.9,27.2,21,33,31,20,28
TyTy Washington,HOU,G,28.3,25.6,19.6,14.3,32,34,19,20,23
Isaiah Joe,OKC,G,28.3,24.8,22.8,16.4,28,36,21,17,22
Ayo Dosunmu,CHI,G,28,32.2,31.4,28.2,22,26,36,43,34
Jakob Poeltl,TOR,C,28,29.2,27.2,27.2,27,27,30,37,25
Mitchell Robinson,NYK,C,28,28,28,26.9,28,28,,,
Marvin Bagley,DET,C,28,28,28,21.5,28,,,,
Grayson Allen,MIL,G,27.7,29.4,28.8,27.6,27,28,28,36,28
Malik Beasley,LAL,G,27.7,24,24,24,34,26,23,21,16
Nicolas Batum,LAC,F,27.7,22.8,22.8,22,21,38,24,8,
Norman Powell,LAC,G,27.5,26,29,25.9,17,38,,25,24
Josh Richardson,NOP,G,27.3,29,29,29,34,29,19,34,
Bennedict Mathurin,IND,F,27.3,29,26.6,28.3,29,30,23,32,31
Wendell Carter,ORL,C,27.3,28.8,29.6,29.9,18,32,32,30,32
Dennis Schroder,LAL,G,27.3,28.4,31.3,30.7,35,27,20,30,30
Malik Monk,SAC,G,27.3,27.3,25,22.9,20,41,21,,
Anfernee Simons,POR,G,27,30.7,33.9,35.6,,,27,28,37
Immanuel Quickley,NYK,G,27,26.4,28.5,27.7,27,30,24,28,23
Daishen Nix,HOU,G,27,22.7,25.2,16.1,30,24,,,14
Patrick Williams,CHI,F,26.7,27.8,26.7,29,22,28,30,29,30
Cam Thomas,BKN,G,26.7,23.6,28.2,17.1,29,30,21,20,18
De'Andre Hunter,ATL,F,26.3,29.4,30.3,31.7,22,29,28,35,33
Caleb Martin,MIA,F,26.3,26.6,27.9,30,21,26,32,28,26
Devonte' Graham,SAS,G,26.3,26.4,28.2,28.2,29,28,22,29,24
Kevon Looney,GSW,C,26,27.2,23.8,23.5,32,26,20,27,31
Terance Mann,LAC,G,26,26.6,26.7,23.5,25,18,35,27,28
Delon Wright,WAS,G,26,25.2,25.3,22.6,28,21,29,29,19
Saddiq Bey,ATL,F,26,24.8,24.8,24.8,32,28,18,21,
Deni Avdija,WAS,F,26,24.6,26.9,26.3,27,27,24,18,27
Bryce McGowens,CHA,G,26,19,19.5,14.7,,,26,19,12
Derrick White,BOS,G,25.7,32,33.9,27.7,25,25,27,43,40
Torrey Craig,PHX,F,25.7,28.6,27.3,25.9,27,23,27,30,36
Dorian Finney-Smith,BKN,F,25.7,28,29.2,29.2,32,25,20,29,34
Bruce Brown,DEN,G,25.7,27.6,27.7,28.7,30,25,22,29,32
Gary Harris,ORL,G,25.7,26.6,26.7,24.8,26,28,23,28,28
Marcus Morris,LAC,F,25.7,26.2,27.3,28.7,33,25,19,23,31
Josh Hart,NYK,F,25.7,26.2,26.2,26.2,26,27,24,28,26
Herbert Jones,NOP,F,25.7,26,31.5,28.6,13,34,30,24,29
Nic Claxton,BKN,C,25.7,25.8,29,29.3,30,22,25,23,29
Mark Williams,CHA,C,25.3,25.4,21,16.4,29,17,30,30,21
Jalen Suggs,ORL,G,25.3,25.4,24.1,23,26,21,29,23,28
Kenrich Williams,OKC,F,25.3,25,24.2,22.6,20,28,28,18,31
Jonathan Kuminga,GSW,F,25.3,22.2,22.2,19.7,27,24,25,22,13
Draymond Green,GSW,F,25,27.3,30,31.5,,,25,33,24
Dwight Powell,DAL,C,25,22.8,23.9,20,27,27,21,14,25
Ty Jerome,GSW,G,25,22,20.7,18.4,21,24,30,17,18
Tim Hardaway,DAL,G,25,22,30.9,30,24,26,,,16
Bogdan Bogdanovic,ATL,G,24.7,26.4,26.5,29.6,28,22,24,31,27
Corey Kispert,WAS,G,24.7,22.8,24.9,27,24,18,32,18,22
Justin Holiday,DAL,F,24.5,24.5,24.5,24.5,28,21,,,
Isaiah Livers,DET,F,24.3,28,23.2,21.3,29,22,22,27,40
Drew Eubanks,POR,C,24.3,25,23.6,19.7,22,24,27,24,28
Jarred Vanderbilt,LAL,F,24.3,22.4,22.4,22.4,27,18,28,22,17
Isaiah Stewart,DET,C,24,27.8,28.3,28.2,19,27,26,38,29
John Collins,ATL,F,24,26.3,27.8,31,26,,22,,31
Monte Morris,WAS,G,24,26.3,26.8,28.1,,27,21,28,29
Jae'Sean Tate,HOU,F,24,24,22.6,21.5,25,28,19,24,24
Kevin Love,MIA,F,24,24,24,24,26,22,,,
Patrick Beverley,CHI,G,24,24,24,24,26,22,,,
Onyeka Okongwu,ATL,C,24,22,21.4,24,28,25,19,19,19
De'Anthony Melton,PHI,G,24,21.4,23.7,28.1,25,13,34,21,14
Josh Green,DAL,F,23.7,29.8,32.1,24.6,16,26,29,38,40
Alperen Sengun,HOU,C,23.7,27,28.7,28.1,25,24,22,33,31
Nassir Little,POR,F,23.7,24.8,20.3,17.3,20,34,17,28,25
Eric Gordon,LAC,G,23.7,23.3,23.3,23.3,25,20,26,22,
Jalen Duren,DET,C,23.5,27.5,28.2,25.1,,23,24,21,42
Jeff Green,DEN,F,23.5,23.3,20,19.5,,25,22,26,20
Trey Murphy,NOP,F,23.3,27,29.6,29.2,27,23,20,31,34
Tari Eason,HOU,F,23.3,22,20.5,19.6,28,23,19,21,19
Mason Plumlee,LAC,C,23.3,21.8,21.8,21.8,27,25,18,17,
Xavier Tillman,MEM,F,23,23.6,25.2,15.4,25,32,12,24,25
Anthony Lamb,GSW,F,23,23.5,23.5,19.7,25,20,24,25,
Luke Kennard,MEM,G,23,22.7,22.7,22.7,25,,21,22,
Royce O'Neale,BKN,F,23,21.6,25.5,33,20,24,25,22,17
Kevin Huerter,SAC,G,22.7,28.4,27.5,30.1,20,22,26,35,39
Joe Ingles,MIL,F,22.7,24.8,23.6,22.4,29,18,21,31,25
Austin Reaves,LAL,G,22.7,23.8,21.6,27.7,27,19,22,25,26
Andrew Nembhard,IND,G,22.7,22.2,26.1,26.9,24,23,21,23,20
Alex Caruso,CHI,G,22.5,25,25.3,24.2,26,19,,30,
Kelly Oubre,CHA,F,22.5,22.5,22.5,32.1,22,23,,,
James Wiseman,DET,C,22.3,22.3,22.3,22.3,20,24,23,,
Quentin Grimes,NYK,G,22.3,22.2,28.4,29.8,22,21,24,22,22
Jaylin Williams,OKC,C,22.3,21.8,21.6,16.5,13,27,27,26,16
Clint Capela,ATL,C,22,24.8,24.6,26.6,19,21,26,29,29
Doug McDermott,SAS,F,22,22,21.1,20.5,18,25,23,,
Carlik Jones,CHI,G,22,22,22,11.5,,,22,,
Taurean Prince,MIN,F,22,20.7,22,21.2,,,22,22,18
Naz Reid,MIN,C,22,19,20,18,36,18,12,12,17
Isaiah Hartenstein,NYK,C,21.7,22.8,23.9,19.8,19,20,26,24,25
Terrence Ross,PHX,F,21.7,21.7,21.7,21.7,17,23,25,,
Trey Lyles,SAC,F,21.7,21.6,18.2,16.2,25,19,21,18,25
Bobby Portis,MIL,F,21.5,21.5,21.5,26.5,21,22,,,
Cedi Osman,CLE,F,21.5,18,19.1,21,,16,27,,11
Aaron Wiggins,OKC,G,21.5,16.3,19.2,18.6,24,19,,10,12
Isaac Okoro,CLE,F,21.3,24,25.8,21.3,21,23,20,19,37
Caris LeVert,CLE,G,21.3,22.4,25,30,23,9,32,28,20
Brandon Clarke,MEM,F,21.3,21.2,20.2,19.8,18,15,31,23,19
Christian Wood,DAL,C,21.3,21,19.1,27.4,20,22,22,23,18
Shaedon Sharpe,POR,G,21,23.6,22,20.2,13,22,28,26,29
Khris Middleton,MIL,G,21,22.3,21.8,21.4,25,17,,25,
Sandro Mamukelashvili,MIL,F,21,15.5,12,9,,,21,,10
AJ Green,MIL,G,21,14.7,14.7,9.7,,19,23,,2
Vlatko Cancar,DEN,F,20.7,23,22.4,16.3,17,19,26,25,28
Daniel Gafford,WAS,C,20.7,21,24.4,18.9,31,12,19,15,28
Victor Oladipo,MIA,G,20.5,20.5,22.7,27.9,21,20,,,
Jae Crowder,MIL,F,20.5,20.5,20.5,20.5,25,16,,,
Chris Boucher,TOR,F,20.3,20.6,22.5,20.7,18,20,23,24,18
Kris Dunn,UTA,G,20,20,20,20,23,17,,,
Ben Simmons,BKN,F,20,16.3,19,26.2,,,20,13,16
Wesley Matthews,MIL,G,20,16.3,19.1,15.5,,,20,10,19
Santi Aldama,MEM,F,19.7,21.4,22.3,22,23,15,21,28,20
Precious Achiuwa,TOR,C,19.3,25,26.9,23.3,16,22,20,34,33
Nick Richards,CHA,C,19,20.2,19,17.3,19,20,18,17,27
Jordan Goodwin,WAS,G,19,19,12.4,18.1,19,,,,
Trendon Watford,POR,F,19,18.2,21.5,16.5,24,19,14,18,16
Jeff Dowtin,TOR,G,19,16.8,16.8,8.9,18,20,19,10,
Blake Wesley,SAS,G,19,16.6,16.5,13.9,20,21,16,20,6
Frank Ntilikina,DAL,G,19,15.2,10.8,12.2,12,21,24,13,6
Alec Burks,DET,G,18.7,19.8,21.5,21.9,17,19,20,28,15
Troy Brown,LAL,F,18.7,19.6,24.2,24,20,18,18,20,22
Reggie Jackson,DEN,G,18.7,18.7,18.7,18.7,19,19,18,,
D'Angelo Russell,LAL,G,18.5,25,25,25,,9,28,28,35
Ryan Arcidiacono,POR,G,18.5,14.7,14.7,14.7,,34,3,7,
Grant Williams,BOS,F,18.3,25.8,26,27.5,29,6,20,48,26
Jose Alvarado,NOP,G,18.3,21,18.7,21.6,16,15,24,29,21
Hamidou Diallo,DET,G,18.3,19,18,16.9,19,20,16,22,18
Josh Christopher,HOU,G,18.3,16.2,17,10.4,15,18,22,16,10
T.J. McConnell,IND,G,18,18.2,18.8,19.5,19,14,21,16,21
Bol Bol,ORL,F,18,17.2,16.5,23.1,22,16,16,13,19
Naji Marshall,NOP,F,17.7,20,22,24.6,15,19,19,23,24
Moritz Wagner,ORL,C,17.7,18.4,18.3,20.9,21,16,16,18,21
Cole Anthony,ORL,G,17.5,18.3,20.6,24.6,17,18,,,20
Rui Hachimura,LAL,F,17.3,21,25,24.9,11,25,16,22,31
